Regions Code,Regions,Household composition Code,Household composition,Ethnic group Code,Ethnic group,Industry Code,Industry,Observation
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,8,"R, S, T, U Other",69
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",1,"A, B, D, E Agriculture, energy and water",4231
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",2,C Manufacturing,12037
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",3,F Construction,11739
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",4,"G, I Distribution, hotels and restaurants",an
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",5,"H, J Transport and communication",11580
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",6,"K, L, M, N Financial, real estate, professional and administrative activities",17596
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",7,"O, P, Q Public administration, education and health",45118
E12000001,North East,1,One-person household,4,"White: English, Welsh, Scottish, Northern Irish or British",8,"R, S, T, U Other",5181
E12000001,North East,1,One-person household,5,White: Irish,1,"A, B, D, E Agriculture, energy and water",17
E12000001,North East,1,One-person household,5,White: Irish,2,C Manufacturing,33
E12000001,North East,1,One-person household,5,White: Irish,3,F Construction,56
E12000001,North East,1,One-person household,5,White: Irish,4,"G, I Distribution, hotels and restaurants",59
E12000001,North East,1,One-person household,5,White: Irish,5,"H, J Transport and communication",60
E12000001,North East,1,One-person household,5,White: Irish,6,"K, L, M, N Financial, real estate, professional and administrative activities",103
E12000001,North East,1,One-person household,5,White: Irish,7,"O, P, Q Public administration, education and health",347
E12000001,North East,1,One-person household,5,White: Irish,8,"R, S, T, U Other",31
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,"A, B, D, E Agriculture, energy and water",90
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,C Manufacturing,417
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",3,F Construction,292
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",4,"G, I Distribution, hotels and restaurants",773
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",5,"H, J Transport and communication",424
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",6,"K, L, M, N Financial, real estate, professional and administrative activities",624
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",7,"O, P, Q Public administration, education and health",1210
E12000001,North East,1,One-person household,6,"White: Gypsy or Irish Traveller, Roma or Other White",8,"R, S, T, U Other",183
E12000001,North East,1,One-person household,7,Other ethnic group,1,"A, B, D, E Agriculture, energy and water",23
E12000001,North East,1,One-person household,7,Other ethnic group,2,C Manufacturing,69
E12000001,North East,1,One-person household,7,Other ethnic group,3,F Construction,57
E12000001,North East,1,One-person household,7,Other ethnic group,4,"G, I Distribution, hotels and restaurants",339
E12000001,North East,1,One-person household,7,Other ethnic group,5,"H, J Transport and communication",96
E12000001,North East,1,One-person household,7,Other ethnic group,6,"K, L, M, N Financial, real estate, professional and administrative activities",135
E12000001,North East,1,One-person household,7,Other ethnic group,7,"O, P, Q Public administration, education and health",362
E12000001,North East,1,One-person household,7,Other ethnic group,8,"R, S, T, U Other",63
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",1,"A, B, D, E Agriculture, energy and water",3
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",2,C Manufacturing,4
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",3,F Construction,1
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",4,"G, I Distribution, hotels and restaurants",38
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",5,"H, J Transport and communication",8
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",6,"K, L, M, N Financial, real estate, professional and administrative activities",13
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",7,"O, P, Q Public administration, education and health",46
E12000001,North East,2,Single family household: All aged 66 years and over,1,"Asian, Asian British or Asian Welsh",8,"R, S, T, U Other",2
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",1,"A, B, D, E Agriculture, energy and water",0
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",2,C Manufacturing,0
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",3,F Construction,0
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",4,"G, I Distribution, hotels and restaurants",0
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",5,"H, J Transport and communication",2
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",6,"K, L, M, N Financial, real estate, professional and administrative activities",1
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",7,"O, P, Q Public administration, education and health",6
E12000001,North East,2,Single family household: All aged 66 years and over,2,"Black, Black British, Black Welsh, Caribbean or African",8,"R, S, T, U Other",0
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,1,"A, B, D, E Agriculture, energy and water",2
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,2,C Manufacturing,0
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,3,F Construction,5
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,4,"G, I Distribution, hotels and restaurants",6
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,5,"H, J Transport and communication",1
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,6,"K, L, M, N Financial, real estate, professional and administrative activities",4
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,7,"O, P, Q Public administration, education and health",10
E12000001,North East,2,Single family household: All aged 66 years and over,3,Mixed or Multiple ethnic groups,8,"R, S, T, U Other",3
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",1,"A, B, D, E Agriculture, energy and water",698
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",2,C Manufacturing,765
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",3,F Construction,989
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",4,"G, I Distribution, hotels and restaurants",1964
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",5,"H, J Transport and communication",724
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",6,"K, L, M, N Financial, real estate, professional and administrative activities",1677
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",7,"O, P, Q Public administration, education and health",2696
E12000001,North East,2,Single family household: All aged 66 years and over,4,"White: English, Welsh, Scottish, Northern Irish or British",8,"R, S, T, U Other",658
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,1,"A, B, D, E Agriculture, energy and water",2
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,2,C Manufacturing,3
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,3,F Construction,7
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,4,"G, I Distribution, hotels and restaurants",7
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,5,"H, J Transport and communication",3
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,6,"K, L, M, N Financial, real estate, professional and administrative activities",4
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,7,"O, P, Q Public administration, education and health",12
E12000001,North East,2,Single family household: All aged 66 years and over,5,White: Irish,8,"R, S, T, U Other",2
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,"A, B, D, E Agriculture, energy and water",1
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,C Manufacturing,6
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",3,F Construction,3
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",4,"G, I Distribution, hotels and restaurants",11
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",5,"H, J Transport and communication",3
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",6,"K, L, M, N Financial, real estate, professional and administrative activities",17
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",7,"O, P, Q Public administration, education and health",39
E12000001,North East,2,Single family household: All aged 66 years and over,6,"White: Gypsy or Irish Traveller, Roma or Other White",8,"R, S, T, U Other",10
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,1,"A, B, D, E Agriculture, energy and water",0
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,2,C Manufacturing,3
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,3,F Construction,1
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,4,"G, I Distribution, hotels and restaurants",1
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,5,"H, J Transport and communication",2
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,6,"K, L, M, N Financial, real estate, professional and administrative activities",3
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,7,"O, P, Q Public administration, education and health",12
E12000001,North East,2,Single family household: All aged 66 years and over,7,Other ethnic group,8,"R, S, T, U Other",1
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",1,"A, B, D, E Agriculture, energy and water",137
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",2,C Manufacturing,700
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",3,F Construction,261
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",4,"G, I Distribution, hotels and restaurants",4193
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",5,"H, J Transport and communication",2070
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",6,"K, L, M, N Financial, real estate, professional and administrative activities",1306
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",7,"O, P, Q Public administration, education and health",4180
E12000001,North East,3,Single family household: Couple family household,1,"Asian, Asian British or Asian Welsh",8,"R, S, T, U Other",304
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",1,"A, B, D, E Agriculture, energy and water",59
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",2,C Manufacturing,222
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",3,F Construction,121
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",4,"G, I Distribution, hotels and restaurants",428
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",5,"H, J Transport and communication",348
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",6,"K, L, M, N Financial, real estate, professional and administrative activities",475
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",7,"O, P, Q Public administration, education and health",1389
E12000001,North East,3,Single family household: Couple family household,2,"Black, Black British, Black Welsh, Caribbean or African",8,"R, S, T, U Other",70
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,1,"A, B, D, E Agriculture, energy and water",88
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,2,C Manufacturing,211
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,3,F Construction,199
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,4,"G, I Distribution, hotels and restaurants",437
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,5,"H, J Transport and communication",300
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,6,"K, L, M, N Financial, real estate, professional and administrative activities",394
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,7,"O, P, Q Public administration, education and health",978
E12000001,North East,3,Single family household: Couple family household,3,Mixed or Multiple ethnic groups,8,"R, S, T, U Other",101
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",1,"A, B, D, E Agriculture, energy and water",15968
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",2,C Manufacturing,42492
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",3,F Construction,45074
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",4,"G, I Distribution, hotels and restaurants",55975
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",5,"H, J Transport and communication",35882
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",6,"K, L, M, N Financial, real estate, professional and administrative activities",47741
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",7,"O, P, Q Public administration, education and health",108306
E12000001,North East,3,Single family household: Couple family household,4,"White: English, Welsh, Scottish, Northern Irish or British",8,"R, S, T, U Other",10844
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,1,"A, B, D, E Agriculture, energy and water",43
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,2,C Manufacturing,89
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,3,F Construction,118
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,4,"G, I Distribution, hotels and restaurants",180
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,5,"H, J Transport and communication",124
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,6,"K, L, M, N Financial, real estate, professional and administrative activities",242
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,7,"O, P, Q Public administration, education and health",715
E12000001,North East,3,Single family household: Couple family household,5,White: Irish,8,"R, S, T, U Other",67
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,"A, B, D, E Agriculture, energy and water",259
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,C Manufacturing,1542
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",3,F Construction,641
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",4,"G, I Distribution, hotels and restaurants",2141
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",5,"H, J Transport and communication",1116
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",6,"K, L, M, N Financial, real estate, professional and administrative activities",1353
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",7,"O, P, Q Public administration, education and health",2585
E12000001,North East,3,Single family household: Couple family household,6,"White: Gypsy or Irish Traveller, Roma or Other White",8,"R, S, T, U Other",355
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,1,"A, B, D, E Agriculture, energy and water",40
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,2,C Manufacturing,190
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,3,F Construction,134
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,4,"G, I Distribution, hotels and restaurants",964
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,5,"H, J Transport and communication",328
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,6,"K, L, M, N Financial, real estate, professional and administrative activities",307
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,7,"O, P, Q Public administration, education and health",933
E12000001,North East,3,Single family household: Couple family household,7,Other ethnic group,8,"R, S, T, U Other",128
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",1,"A, B, D, E Agriculture, energy and water",15
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",2,C Manufacturing,68
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",3,F Construction,10
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",4,"G, I Distribution, hotels and restaurants",374
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",5,"H, J Transport and communication",47
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",6,"K, L, M, N Financial, real estate, professional and administrative activities",117
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",7,"O, P, Q Public administration, education and health",525
E12000001,North East,4,Single family household: Lone parent household,1,"Asian, Asian British or Asian Welsh",8,"R, S, T, U Other",48
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",1,"A, B, D, E Agriculture, energy and water",10
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",2,C Manufacturing,34
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",3,F Construction,13
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",4,"G, I Distribution, hotels and restaurants",137
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",5,"H, J Transport and communication",35
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",6,"K, L, M, N Financial, real estate, professional and administrative activities",124
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",7,"O, P, Q Public administration, education and health",517
E12000001,North East,4,Single family household: Lone parent household,2,"Black, Black British, Black Welsh, Caribbean or African",8,"R, S, T, U Other",43
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,1,"A, B, D, E Agriculture, energy and water",18
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,2,C Manufacturing,19
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,3,F Construction,21
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,4,"G, I Distribution, hotels and restaurants",107
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,5,"H, J Transport and communication",32
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,6,"K, L, M, N Financial, real estate, professional and administrative activities",82
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,7,"O, P, Q Public administration, education and health",321
E12000001,North East,4,Single family household: Lone parent household,3,Mixed or Multiple ethnic groups,8,"R, S, T, U Other",37
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",1,"A, B, D, E Agriculture, energy and water",1029
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",2,C Manufacturing,3119
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",3,F Construction,2305
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",4,"G, I Distribution, hotels and restaurants",15627
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",5,"H, J Transport and communication",2989
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",6,"K, L, M, N Financial, real estate, professional and administrative activities",8477
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",7,"O, P, Q Public administration, education and health",32551
E12000001,North East,4,Single family household: Lone parent household,4,"White: English, Welsh, Scottish, Northern Irish or British",8,"R, S, T, U Other",3504
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,1,"A, B, D, E Agriculture, energy and water",1
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,2,C Manufacturing,10
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,3,F Construction,9
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,4,"G, I Distribution, hotels and restaurants",25
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,5,"H, J Transport and communication",5
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,6,"K, L, M, N Financial, real estate, professional and administrative activities",16
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,7,"O, P, Q Public administration, education and health",69
E12000001,North East,4,Single family household: Lone parent household,5,White: Irish,8,"R, S, T, U Other",6
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,"A, B, D, E Agriculture, energy and water",22
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,C Manufacturing,129
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",3,F Construction,35
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",4,"G, I Distribution, hotels and restaurants",369
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",5,"H, J Transport and communication",75
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",6,"K, L, M, N Financial, real estate, professional and administrative activities",279
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",7,"O, P, Q Public administration, education and health",499
E12000001,North East,4,Single family household: Lone parent household,6,"White: Gypsy or Irish Traveller, Roma or Other White",8,"R, S, T, U Other",71
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,1,"A, B, D, E Agriculture, energy and water",2
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,2,C Manufacturing,21
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,3,F Construction,8
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,4,"G, I Distribution, hotels and restaurants",79
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,5,"H, J Transport and communication",10
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,6,"K, L, M, N Financial, real estate, professional and administrative activities",55
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,7,"O, P, Q Public administration, education and health",144
E12000001,North East,4,Single family household: Lone parent household,7,Other ethnic group,8,"R, S, T, U Other",21
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",1,"A, B, D, E Agriculture, energy and water",26
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",2,C Manufacturing,176
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",3,F Construction,86
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",4,"G, I Distribution, hotels and restaurants",1288
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",5,"H, J Transport and communication",581
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",6,"K, L, M, N Financial, real estate, professional and administrative activities",385
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",7,"O, P, Q Public administration, education and health",939
E12000001,North East,5,Other household types,1,"Asian, Asian British or Asian Welsh",8,"R, S, T, U Other",93
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",1,"A, B, D, E Agriculture, energy and water",9
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",2,C Manufacturing,88
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",3,F Construction,8
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",4,"G, I Distribution, hotels and restaurants",159
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",5,"H, J Transport and communication",83
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",6,"K, L, M, N Financial, real estate, professional and administrative activities",109
E12000001,North East,5,Other household types,2,"Black, Black British, Black Welsh, Caribbean or African",7,"O, P, Q Public administration, education and health",435
